"Term Set Name","Term Set Description","LCID","Available for tagging","Term Description","Level 1 Term","Level 2 Term"
"Zielgruppen","","","","","Berufsfeld","Technische Berufe"
"","","","","","Berufsfeld","Praktika"
"","","","","","Berufsfeld","Netzelektriker"
"","","","","","Berufsfeld","Logistik"
"","","","","","Berufsfeld","Kaufleute"
"","","","","","Berufsfeld","Informatik"
"","","","","","Berufsfeld","Gleisbau"
"","","","","","Berufsfeld","Detailhandel"
"","","","","","Berufsfeld","Fachleute öV"
"","","","","","Berufsfeld","Einzelberufe"
"","","","","","Berufsfeld","Gebäudereinigung"
"","","","","","Lehrjahr","1"
"","","","","","Lehrjahr","2"
"","","","","","Lehrjahr","3"
"","","","","","Lehrjahr","4"
"","","","","","Region","Region Romandie"
"","","","","","Region","Region Mitte"
"","","","","","Region","Region Nord"
"","","","","","Region","Region Ost"
"","","","","","Region","Region Ticino"
"","","","","","Region","Geschäftssitz"
"","","","","","Usertyp","Lernende und Praktikanten"
"","","","","","Usertyp","Ausbildungsleitende "
"","","","","","Usertyp","Berufsbildende"
"","","","","","Usertyp","Fachlehrer und Moderatoren"
"","","","","","Usertyp","Mitarbeitende login"
